# C.E Materials Lists

material,line_vertical
material,weapon_m8_white_smoke_cac
material,weapon_m8_white_smoke
material,weapon_fraggrenade_cac
material,weapon_flare_cac
material,weapon_molotov_cac
material,weapon_tabun_gas_cac
material,weapon_sticky_grenade_cac
material,weapon_molotov
material,weapon_fraggrenade
material,weapon_sticky_grenade
material,weapon_tabun_gas
material,weapon_smokegrenade
material,weapon_flare
material,weapon_mp40
material,weapon_thompson
material,weapon_ppsh
material,weapon_type100_smg
material,weapon_colt
material,weapon_walther
material,weapon_tokarev
material,weapon_nambu
material,weapon_357magnum
material,weapon_kar98k
material,weapon_springfield
material,weapon_m1garand
material,weapon_svt40
material,weapon_stg44
material,weapon_m1carbine
material,weapon_gewehr43
material,weapon_springfield
material,weapon_springfield_scoped
material,weapon_type99_rifle
material,weapon_type99_lmg
material,weapon_mosin_rifle
material,weapon_fg42
material,weapon_mg42
material,weapon_dp28
material,weapon_bar
material,weapon_30cal
material,weapon_ptrs41
material,weapon_shotgun4
material,weapon_double_barreled_shotgun
material,weapon_attachment_flash
material,weapon_attachment_silencer
material,weapon_attachment_bigammo
material,weapon_attachment_aperture
material,weapon_attachment_scoped
material,weapon_attachment_bayonet
material,weapon_attachment_bipod
material,weapon_attachment_rg
material,weapon_attachment_telescopic_german
material,weapon_attachment_telescopic_russian
material,weapon_attachment_acog
material,weapon_attachment_sawoff
material,weapon_attachment_grip
material,scorebar_zom_1
material,specialty_locked
material,specialty_locked_big
material,specialty_locked_challenge
material,mtl_weapon_mp_type100_metal
material,mtl_weapon_mp_type100_wood

material,specialty_juggernaut_zombies
material,specialty_fastreload_zombies
material,specialty_doubletap_zombies
material,specialty_quickrevive_zombies
