a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
1,1,521,2521,25,0,3,ch_marksman_thompson_1,CHALLENGE_THOMPSON_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_SILENCER,,thompson silenced,a,1
2,,,2521,75,25,3,ch_marksman_thompson_2,CHALLENGE_THOMPSON_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_APERTURE,,thompson aperture,,1
3,,,2521,150,75,3,ch_marksman_thompson_3,CHALLENGE_THOMPSON_MARKSMAN_III,CHALLENGE_GET_150_KILLS_WITH_THIS,1000,CHALLENGE_UNLOCK_ROUNDRUM,,thompson bigammo,,1
4,2,522,2522,25,0,3,ch_expert_thompson_1,CHALLENGE_THOMPSON_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,a,1
5,,,2522,75,25,3,ch_expert_thompson_2,CHALLENGE_THOMPSON_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
6,,,2522,150,75,3,ch_expert_thompson_3,CHALLENGE_THOMPSON_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
7,5,523,2523,25,0,3,ch_marksman_type100smg_1,CHALLENGE_TYPE100SMG_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_SILENCER,,type100smg silenced,,1
8,,,2523,75,25,3,ch_marksman_type100smg_2,CHALLENGE_TYPE100SMG_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_APERTURE,,type100smg aperture,,1
9,,,2523,150,75,3,ch_marksman_type100smg_3,CHALLENGE_TYPE100SMG_MARKSMAN_III,CHALLENGE_GET_150_KILLS_WITH_THIS,1000,CHALLENGE_UNLOCK_BOXMAG,,type100smg bigammo,,1
10,6,524,2524,25,0,3,ch_expert_type100smg_1,CHALLENGE_TYPE100SMG_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,,1
11,,,2524,75,25,3,ch_expert_type100smg_2,CHALLENGE_TYPE100SMG_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
12,,,2524,150,75,3,ch_expert_type100smg_3,CHALLENGE_TYPE100SMG_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
13,3,525,2525,25,0,3,ch_marksman_mp40_1,CHALLENGE_MP40_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_SILENCER,,mp40 silenced,,1
14,,,2525,75,25,3,ch_marksman_mp40_2,CHALLENGE_MP40_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_APERTURE,,mp40 aperture,,1
15,,,2525,150,75,3,ch_marksman_mp40_3,CHALLENGE_MP40_MARKSMAN_III,CHALLENGE_GET_150_KILLS_WITH_THIS,1000,CHALLENGE_UNLOCK_DUALMAGS,,mp40 bigammo,,1
16,4,526,2526,25,0,3,ch_expert_mp40_1,CHALLENGE_MP40_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,,1
17,,,2526,75,25,3,ch_expert_mp40_2,CHALLENGE_MP40_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
18,,,2526,150,75,3,ch_expert_mp40_3,CHALLENGE_MP40_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
19,7,527,2527,25,0,2,ch_marksman_ppsh_1,CHALLENGE_PPSH_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS_1_OF_2,100,CHALLENGE_UNLOCK_APERTURE,,ppsh aperture,,1
20,,,2527,75,25,2,ch_marksman_ppsh_2,CHALLENGE_PPSH_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS_2_OF_2,500,CHALLENGE_UNLOCK_ROUNDRUM,,ppsh bigammo,,1
21,8,528,2528,25,0,3,ch_expert_ppsh_1,CHALLENGE_PPSH_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,,1
22,,,2528,75,25,3,ch_expert_ppsh_2,CHALLENGE_PPSH_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
23,,,2528,150,75,3,ch_expert_ppsh_3,CHALLENGE_PPSH_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
