a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
1,5,581,2581,25,0,3,ch_marksman_mosinrifle_1,CHALLENGE_MOSINRIFLE_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_SCOPE,,mosinrifle scoped,,1
2,,,2581,75,25,3,ch_marksman_mosinrifle_2,CHALLENGE_MOSINRIFLE_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_BAYONET,,mosinrifle bayonet,,1
3,,,2581,150,75,3,ch_marksman_mosinrifle_3,CHALLENGE_MOSINRIFLE_MARKSMAN_III,CHALLENGE_GET_150_KILLS_WITH_THIS,1000,CHALLENGE_UNLOCK_GL,,mosinrifle gl,,1
4,6,582,2582,25,0,3,ch_expert_mosinrifle_1,CHALLENGE_MOSINRIFLE_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,,1
5,,,2582,75,25,3,ch_expert_mosinrifle_2,CHALLENGE_MOSINRIFLE_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
6,,,2582,150,75,3,ch_expert_mosinrifle_3,CHALLENGE_MOSINRIFLE_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
7,1,583,2583,25,0,2,ch_marksman_springfield_1,CHALLENGE_SPRINGFIELD_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS_1_OF_2,100,CHALLENGE_UNLOCK_BAYONET,,springfield bayonet,a,1
8,,,2583,75,25,2,ch_marksman_springfield_2,CHALLENGE_SPRINGFIELD_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS_2_OF_2,500,CHALLENGE_UNLOCK_GL,,springfield gl,,1
9,2,584,2584,25,0,3,ch_expert_springfield_1,CHALLENGE_SPRINGFIELD_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,a,1
10,,,2584,75,25,3,ch_expert_springfield_2,CHALLENGE_SPRINGFIELD_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
11,,,2584,150,75,3,ch_expert_springfield_3,CHALLENGE_SPRINGFIELD_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
12,7,585,2585,25,0,3,ch_marksman_kar98k_1,CHALLENGE_KAR98K_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_SCOPE,,kar98k scoped,,1
13,,,2585,75,25,3,ch_marksman_kar98k_2,CHALLENGE_KAR98K_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_BAYONET,,kar98k bayonet,,1
14,,,2585,150,75,3,ch_marksman_kar98k_3,CHALLENGE_KAR98K_MARKSMAN_III,CHALLENGE_GET_150_KILLS_WITH_THIS,1000,CHALLENGE_UNLOCK_GL,,kar98k gl,,1
15,8,586,2586,25,0,3,ch_expert_kar98k_1,CHALLENGE_KAR98K_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,,1
16,,,2586,75,25,3,ch_expert_kar98k_2,CHALLENGE_KAR98K_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
17,,,2586,150,75,3,ch_expert_kar98k_3,CHALLENGE_KAR98K_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
18,3,587,2587,25,0,3,ch_marksman_type99rifle_1,CHALLENGE_TYPE99RIFLE_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_SCOPE,,type99rifle scoped,a,1
19,,,2587,75,25,3,ch_marksman_type99rifle_2,CHALLENGE_TYPE99RIFLE_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_BAYONET,,type99rifle bayonet,,1
20,,,2587,150,75,3,ch_marksman_type99rifle_3,CHALLENGE_TYPE99RIFLE_MARKSMAN_III,CHALLENGE_GET_150_KILLS_WITH_THIS,1000,CHALLENGE_UNLOCK_GL,,type99rifle gl,,1
21,4,588,2588,25,0,3,ch_expert_type99rifle_1,CHALLENGE_TYPE99RIFLE_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,a,1
22,,,2588,75,25,3,ch_expert_type99rifle_2,CHALLENGE_TYPE99RIFLE_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
23,,,2588,150,75,3,ch_expert_type99rifle_3,CHALLENGE_TYPE99RIFLE_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
24,9,590,2590,25,0,3,ch_expert_ptrs41_1,CHALLENGE_PTRS41_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,,1
25,,,2590,75,25,3,ch_expert_ptrs41_2,CHALLENGE_PTRS41_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
26,,,2590,150,75,3,ch_expert_ptrs41_3,CHALLENGE_PTRS41_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
