a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
1,1,561,2561,25,0,2,ch_marksman_shotgun_1,CHALLENGE_SHOTGUN_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS_1_OF_2,100,CHALLENGE_UNLOCK_GRIP,,shotgun grip,a,1
2,,,2561,75,25,2,ch_marksman_shotgun_2,CHALLENGE_SHOTGUN_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS_2_OF_2,500,CHALLENGE_UNLOCK_BAYONET,,shotgun bayonet,,1
3,2,562,2562,25,0,3,ch_expert_shotgun_1,CHALLENGE_SHOTGUN_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,a,1
4,,,2562,50,25,3,ch_expert_shotgun_2,CHALLENGE_SHOTGUN_EXPERT_II,CHALLENGE_GET_50_HEAD_SHOTS_WITH,500,,,,,1
5,,,2562,100,50,3,ch_expert_shotgun_3,CHALLENGE_SHOTGUN_EXPERT_III,CHALLENGE_GET_100_HEAD_SHOTS_WITH,1000,,,,,1
6,3,563,2563,25,0,2,ch_marksman_dbshotty_1,CHALLENGE_DBSHOTTY_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS_1_OF_2,100,CHALLENGE_UNLOCK_GRIP,,doublebarreledshotgun grip,,1
7,,,2563,75,25,2,ch_marksman_dbshotty_2,CHALLENGE_DBSHOTTY_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS_2_OF_2,500,CHALLENGE_UNLOCK_SAWOFF,,doublebarreledshotgun sawoff,,1
8,4,564,2564,25,0,3,ch_expert_dbshotty_1,CHALLENGE_DBSHOTTY_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,,1
9,,,2564,50,25,3,ch_expert_dbshotty_2,CHALLENGE_DBSHOTTY_EXPERT_II,CHALLENGE_GET_50_HEAD_SHOTS_WITH,500,,,,,1
10,,,2564,100,50,3,ch_expert_dbshotty_3,CHALLENGE_DBSHOTTY_EXPERT_III,CHALLENGE_GET_100_HEAD_SHOTS_WITH,1000,,,,,1
