a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
1,3,501,2501,25,0,4,ch_marksman_g43_1,CHALLENGE_G43_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS_1_OF_4,100,CHALLENGE_UNLOCK_SILENCER,,gewehr43 silenced,,1
2,,,2501,75,25,4,ch_marksman_g43_2,CHALLENGE_G43_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS_2_OF_4,500,CHALLENGE_UNLOCK_APERTURE,,gewehr43 aperture,,1
3,,,2501,100,75,4,ch_marksman_g43_3,CHALLENGE_G43_MARKSMAN_III,CHALLENGE_GET_100_KILLS_WITH_THIS_3_OF_4,750,CHALLENGE_UNLOCK_TELESCOPIC_SCOPE,,gewehr43 telescopic,,1
4,,,2501,150,100,4,ch_marksman_g43_4,CHALLENGE_G43_MARKSMAN_IIII,CHALLENGE_GET_150_KILLS_WITH_THIS_4_OF_4,1000,CHALLENGE_UNLOCK_GL,,gewehr43 gl,,1
5,4,502,2502,25,0,3,ch_expert_g43_1,CHALLENGE_G43_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,,1
6,,,2502,75,25,3,ch_expert_g43_2,CHALLENGE_G43_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
7,,,2502,150,75,3,ch_expert_g43_3,CHALLENGE_G43_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
8,1,503,2503,25,0,3,ch_marksman_svt40_1,CHALLENGE_SVT40_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_FLASH,,svt40 flash,a,1
9,,,2503,75,25,3,ch_marksman_svt40_2,CHALLENGE_SVT40_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_APERTURE,,svt40 aperture,,1
10,,,2503,100,75,3,ch_marksman_svt40_3,CHALLENGE_SVT40_MARKSMAN_III,CHALLENGE_GET_100_KILLS_WITH_THIS,750,CHALLENGE_UNLOCK_TELESCOPIC_SCOPE,,svt40 telescopic,,1
11,2,504,2504,25,0,3,ch_expert_svt40_1,CHALLENGE_SVT40_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,a,1
12,,,2504,75,25,3,ch_expert_svt40_2,CHALLENGE_SVT40_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
13,,,2504,150,75,3,ch_expert_svt40_3,CHALLENGE_SVT40_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
14,5,505,2505,25,0,4,ch_marksman_m1garand_1,CHALLENGE_M1GARAND_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS_1_OF_4,100,CHALLENGE_UNLOCK_FLASH,,m1garand flash,,1
15,,,2505,75,25,4,ch_marksman_m1garand_2,CHALLENGE_M1GARAND_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS_2_OF_4,500,CHALLENGE_UNLOCK_BAYONET,,m1garand bayonet,,1
16,,,2505,100,75,4,ch_marksman_m1garand_3,CHALLENGE_M1GARAND_MARKSMAN_III,CHALLENGE_GET_100_KILLS_WITH_THIS_3_OF_4,750,CHALLENGE_UNLOCK_GL,,m1garand gl,,1
17,,,2505,150,100,4,ch_marksman_m1garand_4,CHALLENGE_M1GARAND_MARKSMAN_IIII,CHALLENGE_GET_150_KILLS_WITH_THIS_4_OF_4,1000,CHALLENGE_UNLOCK_SCOPE,,m1garand scoped,,1
18,6,506,2506,25,0,3,ch_expert_m1garand_1,CHALLENGE_M1GARAND_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,,1
19,,,2506,75,25,3,ch_expert_m1garand_2,CHALLENGE_M1GARAND_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
20,,,2506,150,75,3,ch_expert_m1garand_3,CHALLENGE_M1GARAND_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
21,9,507,2507,25,0,4,ch_marksman_m1a1_1,CHALLENGE_M1A1_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS_1_OF_4,100,CHALLENGE_UNLOCK_FLASH,,m1carbine flash,,1
22,,,2507,75,25,4,ch_marksman_m1a1_2,CHALLENGE_M1A1_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS_2_OF_4,500,CHALLENGE_UNLOCK_APERTURE,,m1carbine aperture,,1
23,,,2507,100,75,4,ch_marksman_m1a1_3,CHALLENGE_M1A1_MARKSMAN_III,CHALLENGE_GET_100_KILLS_WITH_THIS_3_OF_4,750,CHALLENGE_UNLOCK_BAYONET,,m1carbine bayonet,,1
24,,,2507,150,100,4,ch_marksman_m1a1_4,CHALLENGE_M1A1_MARKSMAN_IIII,CHALLENGE_GET_150_KILLS_WITH_THIS_4_OF_4,1000,CHALLENGE_UNLOCK_BOXMAG,,m1carbine bigammo,,1
25,10,508,2508,25,0,3,ch_expert_m1a1_1,CHALLENGE_M1A1_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,,1
26,,,2508,75,25,3,ch_expert_m1a1_2,CHALLENGE_M1A1_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
27,,,2508,150,75,3,ch_expert_m1a1_3,CHALLENGE_M1A1_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
28,7,509,2509,25,0,3,ch_marksman_stg44_1,CHALLENGE_STG44_MARKSMAN_I,CHALLENGE_GET_25_KILLS_WITH_THIS,100,CHALLENGE_UNLOCK_FLASH,,stg44 flash,,1
29,,,2509,75,25,3,ch_marksman_stg44_2,CHALLENGE_STG44_MARKSMAN_II,CHALLENGE_GET_75_KILLS_WITH_THIS,500,CHALLENGE_UNLOCK_APERTURE,,stg44 aperture,,1
30,,,2509,100,75,3,ch_marksman_stg44_3,CHALLENGE_STG44_MARKSMAN_III,CHALLENGE_GET_100_KILLS_WITH_THIS,750,CHALLENGE_UNLOCK_TELESCOPIC_SCOPE,,stg44 telescopic,,1
31,8,510,2510,25,0,3,ch_expert_stg44_1,CHALLENGE_STG44_EXPERT_I,CHALLENGE_GET_25_HEAD_SHOTS_WITH,100,,,,,1
32,,,2510,75,25,3,ch_expert_stg44_2,CHALLENGE_STG44_EXPERT_II,CHALLENGE_GET_75_HEAD_SHOTS_WITH,500,,,,,1
33,,,2510,150,75,3,ch_expert_stg44_3,CHALLENGE_STG44_EXPERT_III,CHALLENGE_GET_150_HEAD_SHOTS_WITH,1000,,,,,1
